p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.715138417797841e-236	2.009162896592552	0.423	0.053	6.478592345547785e-232	7	Spata21
6.781595322089274e-201	2.0033510545814677	0.237	0.015	2.5616120010127814e-196	7	Tssk3
7.849761307231997e-297	1.9986423927039845	0.21	0.003	2.965090338580742e-292	7	Glul
0	1.993469776659481	0.321	0.016	0	5	mt-Nd1
5.9024719710026375e-227	1.982369685348536	0.366	0.039	2.2295407376068263e-222	7	Galntl5
0	1.9812412187988246	0.325	0.012	0	5	Calm2
0	1.9809862783276946	0.203	0.001	0	7	Car2
3.576170540290733e-216	1.9808874694393208	0.4	0.052	1.3508268981840185e-211	7	Lrrc18
2.469139293952003e-236	1.9801057664733548	0.22	0.009	9.3266798550449e-232	7	Eif4h
7.971298142625695e-293	1.9794274984165392	0.204	0.003	3.0109984474140038e-288	7	Prkar2a
2.590497016421346e-246	1.9778122245123382	0.223	0.008	9.78508438012835e-242	7	Habp4
6.1580846363278456e-232	1.9756376113134344	0.165	0.002	2.3260933096801173e-227	8	Ly6e
5.538394072924347e-212	1.9752784481416992	0.34	0.036	2.0920175931657134e-207	7	Aif1
5.068581632889129e-277	1.9746545853421245	0.259	0.01	1.9145553401912106e-272	7	Asb17
6.342656975634604e-220	1.9660589806394408	0.436	0.063	2.395811819406459e-215	7	Psma6
4.283281390577175e-215	1.9618452603269563	0.278	0.021	1.617923879662716e-210	7	Cep85l
1.650490265025856e-223	1.9545474521318933	0.229	0.011	6.234396878082166e-219	7	Ak1
7.454191502248917e-248	1.952396987555371	0.23	0.009	2.8156717561444834e-243	7	Slfnl1
2.8154963833542577e-213	1.9456434182972007	0.332	0.033	1.0634974488844038e-208	7	Srpk2
9.02121107663447e-205	1.9420458198899138	0.314	0.031	3.407582059977138e-200	7	Gpd2
6.84374702654858e-175	1.9397771053016557	0.265	0.025	2.585088564338195e-170	7	Osbp2
2.8296649152531515e-168	1.937057408440151	0.254	0.024	1.0688493284385729e-163	7	Ube2k
0	1.934925325545978	0.453	0.028	0	6	Cypt4
3.0242389972998804e-210	1.930494753765881	0.304	0.028	1.142345796450084e-205	7	Ankef1
2.5806414670615617e-241	1.924453701179735	0.232	0.01	9.747857013531637e-237	7	Kif2c
1.2548306085256857e-221	1.9064465667298138	0.204	0.008	4.739871657584073e-217	7	Actl11
5.450394761274028e-203	1.9059952536291038	0.333	0.036	2.0587776131760385e-198	7	Spata20
2.127870917129117e-178	1.9057745789570992	0.376	0.057	8.037606815271813e-174	7	Ipo5
2.6649657845799767e-191	1.8996000203192596	0.302	0.031	1.0066375258093946e-186	7	Eef1g
0	1.8901322151706061	0.189	0.001	0	7	Paqr5
1.3329727619006258e-275	1.8849539652782559	0.175	0.001	5.035038013527234e-271	7	Oxct2a
4.309479024831592e-206	1.8828397505400853	0.256	0.018	1.6278195120496372e-201	7	4930563D23Rik
2.0379781321891867e-123	1.880407128254062	0.138	0.006	7.698054798718215e-119	8	H2-K1
5.0435925487504656e-228	1.8788672573363987	0.22	0.009	1.9051162134395134e-223	7	Tex35
5.365998144661869e-158	1.877110824189408	0.371	0.062	2.026898479183128e-153	7	Hils1
0	1.8759604295918104	0.204	0.002	0	7	Prss58
9.394891427015541e-244	1.8750726873225785	0.186	0.004	3.5487323387265804e-239	7	Gm6760
1.3359027305200896e-134	1.8734285729151865	0.32	0.054	5.046105383993535e-130	7	Ubxn6
2.862042422649288e-264	1.8727022815618335	0.194	0.004	1.0810792843073155e-259	7	1700016P04Rik
5.5179603618370714e-176	1.8662508644948144	0.266	0.025	2.084299167476717e-171	7	Ube2j1
5.157907981857656e-214	1.8635190389999843	0.194	0.007	1.9482965819870926e-209	7	1700001K19Rik
1.2353353749879975e-183	1.8588995733083264	0.375	0.053	4.666232311942163e-179	7	Chl1
1.434284049640186e-151	1.8583459091981998	0.191	0.014	5.417721140705874e-147	7	2810408A11Rik
7.216608007413168e-159	1.8563734962981853	0.259	0.028	2.725929342640176e-154	7	Eef1d
1.8010176526398334e-159	1.8536282346349755	0.328	0.047	6.802983979316443e-155	7	Nrd1
1.9218501189435972e-160	1.853233169935217	0.282	0.033	7.25940445428565e-156	7	Cypt12
1.472993716374188e-160	1.8515338341548184	0.131	0.003	5.56393916486022e-156	8	Lcp1
3.003842529848525e-175	1.8501622295249431	0.323	0.04	1.1346414387996835e-170	7	Pmfbp1
0	1.8497175742831518	0.855	0.174	0	5	Ldhc
2.242008169300376e-149	1.8451313430893177	0.311	0.045	8.468737457898311e-145	7	Fam46c
8.068808983073264e-194	1.84331936757672	0.153	0.004	3.047831217176264e-189	7	Herpud1
3.8110639853036435e-183	1.8405104595603	0.256	0.022	1.4395531991687453e-178	7	Samd4
1.0940649043097745e-230	1.8381480482988433	0.16	0.002	4.132611363049311e-226	7	Spatc1
0	1.8360329912857343	0.542	0.046	0	6	Hils1
1.7361555237945906e-156	1.832213295075391	0.344	0.053	6.557980260029307e-152	7	Gstt4
0	1.8213181974429522	0.417	0.027	0	6	Scp2d1
3.4310656634620685e-167	1.8208047899847595	0.247	0.023	1.2960164330595272e-162	7	Atp1b3
5.043963847098503e-177	1.8167894474381676	0.254	0.022	1.9052564639645174e-172	7	Pkib
1.9865925995653272e-177	1.8134068992935504	0.115	0.001	7.50395622633811e-173	8	Fcer1g
2.0130316524838737e-250	1.812789884973547	0.203	0.005	7.603824460927336e-246	7	Hspa1l
4.5056879159753575e-179	1.806853430164557	0.282	0.028	1.7019334965013718e-174	7	Spcs2
1.4672721205324546e-147	1.8038792317244994	0.259	0.03	5.5423269808872405e-143	7	Cep295nl
3.001056082565151e-254	1.7963613390608506	0.16	0.001	1.1335889140673346e-249	7	1700009J07Rik
4.380186512681187e-191	1.7953189935093288	0.175	0.007	1.6545278514350648e-186	7	Mical3
5.207790129860142e-183	1.7945018704512963	0.218	0.014	1.9671385657520714e-178	7	Fam71f1
9.350814430327787e-140	1.7723747247022614	0.235	0.026	3.5320831347677153e-135	7	Rnf38
1.9602003394606508e-151	1.771365356573495	0.104	0.001	7.404264742244717e-147	8	Mpeg1
1.5815830704417429e-180	1.7693680520600223	0.192	0.01	5.9741137319795956e-176	7	Mex3d
3.935071539877707e-220	1.7665253406100216	0.17	0.004	1.486394572758006e-215	7	Isg20l2
2.224285146285322e-244	1.7638319861563279	0.238	0.014	8.401792283063548e-240	5	mt-Nd2
1.339175348720737e-162	1.7598692924129598	0.187	0.011	5.05846704472284e-158	7	1700034I23Rik
2.5854912990178266e-179	1.7582393389278683	0.192	0.014	9.766176283780037e-175	5	mt-Cytb
3.922688220044808e-198	1.7561516553418655	0.199	0.009	1.4817170213575255e-193	7	Rnf133
4.805815366069709e-168	1.7560772435349719	0.102	0	1.815300638225511e-163	8	Cd9
4.797050587705475e-165	1.7452504392539594	0.106	0.001	1.811989918493989e-160	8	Lgals3
2.949009609008764e-257	1.7421878732006086	0.162	0.001	1.1139293996108803e-252	7	Hmgb1-rs17
4.40810381075585e-140	1.7217787784725669	0.275	0.036	1.665073052436807e-135	7	Spata7
1.1234369308535636e-119	1.718441289914014	0.23	0.03	4.243558318913166e-115	7	Bcl2l14
0	1.705105428023032	0.395	0.028	0	6	Fam229a
1.0426491115068991e-158	1.7049048126941544	0.184	0.011	3.9383984888950103e-154	7	Actg2
1.698265018975542e-169	1.7013859731612204	0.12	0.001	6.414856456176315e-165	8	H2-Aa
2.230098371903001e-104	1.7006791577143567	0.191	0.023	8.423750580189206e-100	7	Iqcf5
3.3310864967483315e-138	1.699884865287503	0.168	0.011	1.2582513024167472e-133	7	Ppm1a
3.7320271284910117e-122	1.6977818909890623	0.204	0.022	1.4096986072449098e-117	7	Agpat3
8.915462907654794e-130	1.6870105979295096	0.232	0.027	3.3676378041084457e-125	7	Tex48
1.9364393870171156e-251	1.6836150249965127	0.16	0.001	7.31451249657975e-247	7	Cstl1
1.084362767914018e-207	1.6820163786070068	0.172	0.005	4.09596348324162e-203	7	Rbm28
1.1474306245023154e-152	1.678485257663077	0.235	0.023	4.334189697932596e-148	7	Luzp1
6.621855278011016e-158	1.6783829407113084	0.162	0.008	2.501273394163101e-153	7	Vasp
3.2674493337134336e-121	1.677688469930412	0.199	0.021	1.2342136368235753e-116	7	Proca1
